41425,162655065,Ryan Miller,12
1010,162657359,Jim McCullough Sr.,27
1196,162661425,Kathryn Mullen,16
3984,162664704,Jill St. John,46
690,162683663,Corinna Harfouch,1
305,162689751,Bj锟津k,42
173,162693957,J锟津gen Prochnow,14
7580,162705409,Lee J. Cobb,48
527,162713777,Elina L锟谨ensohn,13
5128,186024557,Matthew Newton,75
722,196111261,Edward D. Wood Jr.,11
6954,243189678,Yves Desgagn锟襟,20
5114,351527616,Leo G. Carroll,47
2210,351527810,Mike Johnson,23
2993,358147938,Martine Beswicke#49265,25
5147,364546732,Victor Sj锟襟tr锟巾,1
6026,364598891,G锟紧z George,1
2488,364604003,Karlheinz B锟借m,1
7954,364604800,Alan Collins (II)#84265,11
8370,364608096,Guadalcanal Taka#12647,12
8535,364610002,Lara Fabian,22
6960,364615025,Rosemarie Dexter#78825,14
666,364616478,Tomas von Br锟巾ssen,6
3495,364628656,Adam Horovitz,45
61434,385329710,Paul Shelley,13
2523,403893971,Bruce Kimball,30
32333,415813255,Benedikt Erlingsson,9
3916,423244052,Burgess Jenkins,12
27803,528392294,Alberto Amarilla,14
5159,533475991,Townsend Coleman,12
26792,568063878,Pat Brown,5
2970,597171348,Grande Otelo,15
8070,708027032,Axel Prahl,4
60618,745781780,Hubbel Palmer,5
48231,764948408,Piroska Moln锟津,5
2243,770670105,Martha Smith,25
6947,770678472,Max Pirkis,12
8956,770679234,Nick Wilkinson,12
51709,770679356,Park Hae-il,3
81,770681182,Susan Merson,24
55955,770681656,Irina Skrinichenko,78
33836,770682833,Valerie Azlynn,56
6870,770683766,Jonathan Togo,31
61816,770686235,Ekateryna Rak,1
61816,770686236,Paul Hofmann,2
834,770686799,Tom 'Tiny' Lister Jr.#934...,12
2264,770689824,Richard Newman,19
27899,770691728,Fred Alan Wolf,20
104,770692570,Ellie Harvie,38
25899,770699538,Vin Moore,33
7032,770699940,Matthew Wood,27
2705,770701811,Mia Hansen-L锟仅e,7
7954,770703021,Joseph Cotton#97821,9
3515,770709107,Robert Foster,20
2152,770709467,Tyler Thompson,20
5621,770710950,Stacey DePass,37
3814,770711971,Edward Ardisson#10940,47
1295,770714450,Pavel Landovsky,7
1318,770715385,Robin Soans,12
4976,770715871,Siobhan Hayes,20
4444,770716855,Bob Wall#35768,18
5458,770721657,Jason Richardson,22
27846,770724079,Steve Wilson,48
6340,770729544,Ann Peebles,6
3672,770732186,Benji,1
648,770733726,Rose Rollins,21
2175,770735397,BG,3
6730,770736849,Don Levy,22
54276,770736961,David Wheir,30
8861,770739921,Jeff White,60
6312,770740417,Dr. Monica Neagoy,31
3263,770741375,Ruben Martinez,38
33830,770741598,Mark Deklin,23
5703,770749421,David Murphy,30
1923,770756009,Peter Flemming,7
44653,770758944,Alain Aptekman,13
3929,770760945,Jack Clifford,19
52375,770761533,Kathleen Benner,3
2632,770762702,Andrzej Kozak,15
2076,770765776,Ken Stovitz,13
2780,770767952,Jim McCullough Jr.,10
2738,770769512,Annie McKnight,12
5107,770772587,Christian Kahrmann,44
341,770776150,Gene Kiniski,18
8969,770777398,Sam Hazeldine,63
4095,770779064,Joseph Marcell,19
2165,770781823,Nastassia Kinski#36971,7
757,770782922,Tony Leung Kar Fai#81046,10
6353,770783753,Nigel Harrison,15
2062,770784019,Tom Wilkenson#83933,20
8843,770784275,Gerardo,6
575,770784311,Ross Elliot Bagley,6
3685,770786006,Scott Campbell,17
4518,770788088,Matt King,27
33836,770788784,Abbey McBride,41
4769,770789988,Alison Haislip,4
7748,770790955,Raymond Devos,4
33826,770804108,Keir Gilchrist,27
60037,770804588,Charlie Saxton,30
8149,770805337,Sal Ponti,13
332,770807905,Lane Nishikawa,23
2227,770808199,Virginia Williams,12
