1,john_lasseter,John Lasseter
2,joe_johnston,Joe Johnston
3,donald_petrie,Donald Petrie
4,forest_whitaker,Forest Whitaker
5,charles_shyer,Charles Shyer
6,michael_mann,Michael Mann
7,billy_wilder,Billy Wilder
8,1052316-peter_hewitt,Peter Hewitt
9,peter_hyams,Peter Hyams
10,martin_campbell,Martin Campbell
11,rob_reiner,Rob Reiner
12,mel_brooks,Mel Brooks
13,simon_wells,Simon Wells
14,oliver_stone,Oliver Stone
15,renny_harlin,Renny Harlin
16,martin_scorsese,Martin Scorsese
17,ang_lee,Ang Lee
18,alexandre_rockwell,Alexandre Rockwell
19,steve_oedekerk,Steve Oedekerk
20,joseph_ruben,Joseph Ruben
21,barry_sonnenfeld,Barry Sonnenfeld
22,jon_amiel,Jon Amiel
23,1165744-james_mcteigue,James McTeigue
24,victor_salva,Victor Salva
25,mike_figgis,Mike Figgis
26,oliver_parker,Oliver Parker
27,lesli_linka_glatter,Lesli Linka Glatter
28,roger_michell,Roger Michell
29,jeanpierre_jeunet,Jean-Pierre Jeunet
30,zhang_yimou,Yimou Zhang
31,john_n_smith,John N. Smith
32,siddharth_randeria,Siddharth Randeria
33,jeanjacques_annaud,Jean-Jacques Annaud
34,chris_noonan,Chris Noonan
35,christopher_hampton,Christopher Hampton
36,tim_robbins,Tim Robbins
37,stephan_low,Stephan Low
38,andy_tennant,Andy Tennant
39,andras-solyom,Andras Solyom
40,darrell_roodt,Darrell Roodt
41,richard_loncraine,Richard Loncraine
42,albert_hughes,Albert Hughes
43,michael_hoffman,Michael Hoffman
44,paul_anderson,Paul W.S. Anderson
45,len_wiseman,Len Wiseman
46,jocelyn_moorhouse,Jocelyn Moorhouse
47,akira_kurosawa,Akira Kurosawa
48,mike-gabriel,Mike Gabriel
49,patricia_rozema,Patricia Rozema
50,bryan_singer,Bryan Singer
52,woody_allen,Woody Allen
53,gianni_amelio,Gianni Amelio
54,holly_goldberg_sloan,Holly Goldberg Sloan
55,garry_marshall,Garry Marshall
56,robert_tinnell,Robert Tinnell
57,jodie_foster,Jodie Foster
58,michael_radford,Michael Radford
59,robert_lepage,Robert Lepage
60,frank_oz,Frank Oz
61,sara_botsford,Sara Botsford
62,stephen_herek,Stephen Herek
63,paris-barclay,Paris Barclay
64,bill_bennett,Bill Bennett
65,jason_bloom,Jason Bloom
66,farhad_mann,Farhad Mann
67,james_foley,James Foley
68,josiane_balasko,Josiane Balasko
69,marek_koterski,Marek Koterski
70,robert_rodriguez,Robert Rodriguez
71,andrew_sipes,Andrew Sipes
72,jesse_dylan,Jesse Dylan
73,bille_august,Bille August
74,michael_goldenberg,Michael Goldenberg
75,steve_miner,Steve Miner
76,christian_duguay,Christian Duguay
77,susanne_ofteringer,Susanne Ofteringer
78,sean_penn,Sean Penn
79,brian_gibson,Brian Gibson
80,jafar_panahi,Jafar Panahi
81,gary_fleder,Gary Fleder
82,marleen_gorris,Marleen Gorris
83,1146513-tim_reid,Tim Reid
84,henry_jaglom,Henry Jaglom
85,philip_haas,Philip Haas
86,director-ridley-scott,Director Ridley Scott
87,ken_kwapis,Ken Kwapis
88,1178642-jonathan_king,Jonathan King
89,john_badham,John Badham
90,john_duigan,John Duigan
92,stephen_frears,Stephen Frears
93,wes_craven,Wes Craven
94,ted_demme,Ted Demme
95,john_woo,John Woo
96,kenneth_branagh,Kenneth Branagh
97,mathieu_kassovitz,Mathieu Kassovitz
99,nick_broomfield,Nick Broomfield
100,harold_becker,Harold Becker
101,wes_anderson,Wes Anderson
102,1040953-nick_castle,Nick Castle
103,john_dahl,John Dahl
104,dennis_dugan,Dennis Dugan
105,clint_eastwood,Clint Eastwood
106,doris_doerrie,Doris D鲵rie
107,brian_henson,Brian Henson
110,mel_gibson,Mel Gibson
112,stanley_tong,Stanley Tong
113,barbet_schroeder,Barbet Schroeder
114,mort_ransen,Mort Ransen
115,etienne_chatiliez,婶ienne Chatiliez
116,john_blair,John Blair
117,benjamin-ross,Benjamin Ross
118,eric_schaeffer,Eric Schaeffer
119,1022918-andrew_davis,Andrew Davis
120,charles_t_kanganis,Charles T. Kanganis
122,reginald_hudlin,Reginald Hudlin
123,karwai-wong,Kar Wai Wong
124,guiseppe_tornatore,Giuseppe Tornatore
125,david_o_russell,David O. Russell
126,peter_macdonald,Peter MacDonald
128,michel_negroponte,Michel Negroponte
129,bryan_gordon,Bryan Gordon
130,1042742-alan_parker,Alan Parker
131,michael_lindsayhogg,Michael Lindsay-Hogg
134,craig_baldwin,Craig Baldwin
135,david_s_ward,David S. Ward
136,1045365-mark_rappaport,Mark Rappaport
137,barry_levinson,Barry Levinson
140,jon_avnet,Jon Avnet
141,mike_nichols,Mike Nichols
143,_0781341,Jakov Sedlar
144,edward_burns,Edward Burns
145,michael_bay,Michael Bay
146,christopher_cain,Christopher Cain
147,scott-kalvert,Scott Kalvert
148,mike_newell,Mike Newell
149,michael_traeger,Michael Traeger
150,ron_howard,Ron Howard
151,michael_catonjones,Michael Caton-Jones
153,joel_schumacher,Joel Schumacher
154,luis_bunuel,Luis Bu聃el
155,john_boorman,John Boorman
156,paul_auster,Paul Auster
157,1055159-michael_moore,Michael Moore
158,brad_silberling,Brad Silberling
159,spike_lee,Spike Lee
160,frank_marshall,Frank Marshall
161,tony_scott,Tony Scott
162,terry_zwigoff,Terry Zwigoff
164,carl_franklin,Carl Franklin
165,john_mctiernan,John McTiernan
166,gregg_araki,Gregg Araki
167,christopher_menaul,Christopher Menaul
168,jerry_zucker,Jerry Zucker
169,dwight_h_little,Dwight H. Little
170,iain_softley,Iain Softley
171,christopher-ashley,Christopher Ashley
172,robert_longo,Robert Longo
173,danny_cannon,Danny Cannon
174,john_fortenberry,John Fortenberry
175,1176587-larry_clark,Larry Clark
176,tom_dicillo,Tom DiCillo
177,clive_barker,Clive Barker
178,denys_arcand,Denys Arcand
179,jill_goldman,Jill Goldman
180,1030366-kevin_smith,Kevin Smith
181,bryan_spicer,Bryan Spicer
182,david_anspaugh,David Anspaugh
183,anthony_waller,Anthony Waller
184,rodney_gibbons,Rodney Gibbons
185,irwin_winkler,Irwin Winkler
186,chris_columbus,Chris Columbus
187,daisy_von_scherler_mayer,Daisy von Scherler Mayer
188,gregory_widen,Gregory Widen
189,max-ophuls,Max Ophls
190,sidney_lumet,Sidney Lumet
191,roland_joffe,Roland Joff
193,paul_verhoeven,Paul Verhoeven
194,wayne_wang,Wayne Wang
195,162659443,Lasse Hallstr鲰
196,roger_donaldson,Roger Donaldson
197,james_keach,James Keach
198,kathryn_bigelow,Kathryn Bigelow
199,jacques_demy,Jacques Demy
200,wesley_strick,Wesley Strick
201,martha_coolidge,Martha Coolidge
202,agnieszka_holland,Agnieszka Holland
203,beeban_kidron,Beeban Kidron
204,geoff_murphy,Geoff Murphy
205,diane_keaton,Diane Keaton
206,douglas-keeve,Douglas Keeve
207,alfonso_arau,Alfonso Arau
208,kevin_reynolds,Kevin Reynolds
209,desmond_nakano,Desmond Nakano
210,walter_hill,Walter Hill
211,anthony_asquith,Anthony Asquith
212,greg_beeman,Greg Beeman
213,nikita_mikhalkov,Nikita Mikhalkov
214,milcho_manchevski,Milcho Manchevski
215,richard_linklater,Richard Linklater
216,tamra_davis,Tamra Davis
217,1013435-david_ross,David Ross
218,herbert_ross,Herbert Ross
219,peter_horton,Peter Horton
220,stuart_gordon,Stuart Gordon
222,pat_oconnor,Pat O'Connor
224,jeremy_leven,Jeremy Leven
226,francis_ford_coppola,Francis Ford Coppola
228,jack_baran,Jack Baran
229,roman_polanski,Roman Polanski
230,taylor_hackford,Taylor Hackford
231,peter_farrelly,Peter Farrelly
233,atom_egoyan,Atom Egoyan
235,tim_burton,Tim Burton
236,lawrence_kasdan,Lawrence Kasdan
237,billy_crystal,Billy Crystal
238,phillip_borsos,Phillip Borsos
239,kevin_lima,Kevin Lima
240,brett_leonard,Brett Leonard
241,carlo_carlei,Carlo Carlei
242,gerard_corbiau,G轵ard Corbiau
243,mike_hodges,Mike Hodges
244,art_clokey,Art Clokey
245,charles_burnett,Charles Burnett
246,1053511-steve_james,Steve James
247,peter_jackson,Peter Jackson
248,randall_miller,Randall Miller
249,bernard_rose,Bernard Rose
250,steven_brill,Steven Brill
251,william_friedkin,William Friedkin
252,fred_schepisi,Fred Schepisi
253,neil_jordan,Neil Jordan
254,james_ivory,James Ivory
255,james_melkonian,James Melkonian
256,ivan_reitman,Ivan Reitman
257,arne_glimcher,Arne Glimcher
258,michael_gottlieb,Michael Gottlieb
260,george_lucas,George Lucas
261,gillian_armstrong,Gillian Armstrong
262,alfonso_cuaron,Alfonso Cuar箢
263,ken_loach,Ken Loach
264,claude_chabrol,Claude Chabrol
266,edward_zwick,Edward Zwick
268,james_gray,James Gray
269,allison_anders,Allison Anders
270,glenn_gordon_caron,Glenn Gordon Caron
271,stephen_gyllenhaal,Stephen Gyllenhaal
272,nicholas_hytner,Nicholas Hytner
273,james_whale,James Whale
275,nora_ephron,Nora Ephron
276,richard_benjamin,Richard Benjamin
277,george_seaton,George Seaton
278,david_frankel,David Frankel
279,gregory_nava,Gregory Nava
280,marc_rocco,Marc Rocco
281,evelyn_purcell,Evelyn Purcell
282,michael_apted,Michael Apted
283,1196862-nick_gomez,Nick Gomez
284,toru_murakawa,Toru Murakawa
285,vadim_jean,Vadim Jean
286,albert_pyun,Albert Pyun
287,1046415-alan_jacobs,Alan Jacobs
289,norman_jewison,Norman Jewison
290,lee_tamahori,Lee Tamahori
291,anne_goursaud,Anne Goursaud
292,wolfgang_petersen,Wolfgang Petersen
293,luc_besson,Luc Besson
294,mira_nair,Mira Nair
295,joshua_brand,Joshua Brand
296,quentin_tarantino,Quentin Tarantino
297,harald_zwart,Harald Zwart
299,antonia_bird,Antonia Bird
300,robert_redford,Robert Redford
